/*********************************************
 * OPL 20.1.0.0 Data
 * Author: margauxschmied
 * Creation Date: 18 févr. 2022 at 12:28:20
 *********************************************/

nbSalle=10;
portes=[[0, 1, 1, 0, 0, 1, 1, 0, 0, 0], 
 		[1, 0, 0, 0, 0, 0, 0, 1, 0, 0], 
 		[1, 0, 0, 1, 0, 0, 0, 0, 0, 0],
 		[0, 0, 1, 0, 1, 1, 0, 0, 0, 0], 
 		[0, 0, 0, 1, 0, 0, 0, 0, 0, 0],
 		[1, 0, 0, 1, 0, 0, 0, 0, 0, 0],
 		[1, 0, 0, 0, 0, 0, 0, 0, 1, 0],
 		[0, 1, 0, 0, 0, 0, 0, 0, 1, 0],
 		[0, 0, 0, 0, 0, 0, 1, 1, 0, 1],
 		[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]];
 
